N	brute	recur	mix_2	mix_4	mix_8	mix_16	kadane
2	7	6	6	6	6	6	1
3	7	10	14	9	9	9	3
4	11	14	17	13	13	13	3
5	17	21	25	21	18	17	3
6	23	26	33	24	24	24	4
7	30	32	37	30	32	32	5
8	37	37	41	35	39	39	6
9	47	43	50	43	41	105	6
10	52	46	54	46	42	53	6
11	62	52	64	52	49	62	7
12	72	58	72	57	69	80	8
13	92	70	83	68	68	93	9
14	105	76	88	73	76	106	10
15	120	83	94	79	85	121	10
16	135	88	97	84	93	138	11
17	153	97	108	94	96	138	11
18	175	104	119	103	98	113	13
19	192	111	131	112	104	124	13
20	211	118	139	121	112	135	13
21	233	126	152	130	122	146	15
22	257	134	160	157	129	158	14
23	280	142	172	141	139	174	16
24	305	150	180	146	144	183	16
25	327	158	188	155	156	198	17
26	378	152	178	148	150	195	16
27	354	160	183	156	160	209	16
28	379	164	188	160	165	221	18
29	418	161	182	156	165	218	17
30	402	166	186	160	193	250	19
31	459	187	204	180	195	265	19
32	520	192	208	185	202	281	19
40	754	256	293	260	244	285	26
50	1143	316	364	309	306	379	30
62	1648	399	430	388	414	544	36
77	2537	523	589	526	502	570	45
96	3658	629	735	622	613	741	52
120	5588	759	831	738	773	993	60
150	8133	938	1041	943	906	1005	70
187	13709	1721	1963	1693	1548	1821	114
233	22689	1759	1914	1722	1780	2216	115
291	28977	1897	2066	1891	1813	1894	121
363	37130	2009	2263	1998	1968	2151	124
453	47421	2091	2261	2052	2096	2520	127
566	63318	2497	2688	2489	2451	2619	153
707	97930	3218	3582	3224	3152	3551	192
883	152903	4127	4472	4062	4140	4908	239
