step=16 time=0.3180410s cnt=524288 avg=6.066151
step=17 time=0.3082669s cnt=493448 avg=6.247201
step=18 time=0.3150253s cnt=466034 avg=6.759706
step=19 time=0.3089195s cnt=441506 avg=6.996949
step=20 time=0.2919871s cnt=419431 avg=6.961505
step=21 time=0.3161395s cnt=399458 avg=7.914211
step=22 time=0.5484979s cnt=381301 avg=14.384906
step=23 time=0.2790382s cnt=364723 avg=7.650688
step=24 time=0.2934278s cnt=349526 avg=8.395021
step=25 time=0.2819204s cnt=335545 avg=8.401866
step=26 time=0.2640134s cnt=322639 avg=8.182935
step=27 time=0.2677515s cnt=310690 avg=8.617963
step=28 time=0.2574149s cnt=299594 avg=8.592125
step=29 time=0.2441342s cnt=289263 avg=8.439870
step=30 time=0.2510401s cnt=279621 avg=8.977870
step=31 time=0.4357893s cnt=270601 avg=16.104497
step=32 time=0.2542047s cnt=262144 avg=9.697140
step=33 time=0.2703983s cnt=254201 avg=10.637185
step=34 time=0.2438236s cnt=246724 avg=9.882444
step=35 time=0.2492148s cnt=239675 avg=10.398031
step=36 time=0.5007267s cnt=233017 avg=21.488848
step=37 time=0.2314095s cnt=226720 avg=10.206841
step=38 time=0.2204636s cnt=220753 avg=9.986890
step=39 time=0.2159461s cnt=215093 avg=10.039662
step=40 time=0.2325394s cnt=209716 avg=11.088300
step=41 time=0.2262563s cnt=204601 avg=11.058416
step=42 time=0.2269964s cnt=199729 avg=11.365220
step=43 time=0.2214435s cnt=195084 avg=11.351187
step=44 time=0.2104992s cnt=190651 avg=11.041075
step=45 time=0.2183802s cnt=186414 avg=11.714796
step=46 time=0.1952103s cnt=182362 avg=10.704549
step=47 time=0.1939585s cnt=178482 avg=10.867118
step=48 time=0.1946982s cnt=174763 avg=11.140699
step=49 time=0.1870526s cnt=171197 avg=10.926161
step=50 time=0.1862639s cnt=167773 avg=11.102138
step=51 time=0.1799953s cnt=164483 avg=10.943094
step=52 time=0.1784378s cnt=161320 avg=11.061108
step=53 time=0.1673672s cnt=158276 avg=10.574389
